accession	project	bases	gc	ags	country	div	arg_copies	cpg
ERR7625325	PRJEB49168	2053.01388	590.25	3.478210724269377	SG	4.1040739420016905	8139.037	13.789135112240576
ERR7625326	PRJEB49168	2027.910919	598.875	3.3862006579002295	SG	3.5972080948080034	1583.174	2.6435800459194323
ERR7625327	PRJEB49168	4653.623057	1500.0	3.102415371333333	SG	2.60643810799447	6389.377	4.259584666666667
ERR7625328	PRJEB49168	2662.411048	1014.25	2.6250047305891053	SG	3.945689002502692	2672.658	2.635107715060389
ERR7625329	PRJEB49168	824.163045	279.625	2.9473868395172107	SG	4.1089142196545625	735.31	2.629628967367009
ERR7625330	PRJEB49168	1879.755579	533.5	3.523440635426429	SG	3.089531655614529	8353.664	15.658226804123712
ERR7625331	PRJEB49168	785.077945	284.375	2.7607136527472527	SG	2.5741472651506294	742.142	2.6097301098901102
ERR7625332	PRJEB49168	1834.20102	556.875	3.2937392053872054	SG	4.291327601621543	1157.631	2.0787986531986533
ERR7625333	PRJEB49168	1751.41676	549.875	3.1851179995453514	SG	3.692460026046566	1419.037	2.5806537849511253
ERR7625334	PRJEB49168	2431.262983	694.125	3.5026299052764274	SG	3.592171352775268	2704.7309999999998	3.896605078336034
ERR7625335	PRJEB49168	701.652089	209.375	3.3511741564179105	SG	3.2776545797980736	552.176	2.6372585074626866
ERR7625336	PRJEB49168	2918.483309	776.0	3.7609320992268045	SG	2.9958574792139485	5266.886	6.787224226804124
ERR7625337	PRJEB49168	2793.080276	853.25	3.2734606223263993	SG	3.6677954986468264	1778.248	2.084087899208907
ERR7625338	PRJEB49168	3609.993171	1287.375	2.8041504386833673	SG	3.6737148347387656	1995.744	1.5502429362073986
ERR7625339	PRJEB49168	3762.201477	1138.5	3.30452479314888	SG	4.504925549451427	4615.607	4.054112428634168
ERR7625340	PRJEB49168	3051.865497	987.0	3.092062306990881	SG	2.4265529672665394	3068.136	3.108547112462006
ERR7625341	PRJEB49168	2692.064179	677.375	3.9742597217198745	SG	3.345420086873118	2223.53	3.2825687396198564
ERR7625342	PRJEB49168	3196.886665	922.125	3.4668690958384167	SG	4.49506458561527	4373.8550000000005	4.74323437711807
ERR7625343	PRJEB49168	198.288491	53.0	3.741292283018868	SG	4.209430130551382	159.454	3.008566037735849
ERR7625344	PRJEB49168	3645.178789	1136.75	3.2066670675170443	SG	4.28899739806924	2776.998	2.442927644600836
ERR7625345	PRJEB49168	2490.840092	839.0	2.9688201334922524	SG	4.370859841236976	1972.392	2.350884386174017
ERR7625346	PRJEB49168	196.108527	58.25	3.366669991416309	SG	2.9502742579401406	190.357	3.267931330472103
ERR7625347	PRJEB49168	2403.460144	629.875	3.8157731994443345	SG	3.5190434809342035	2048.8	3.2527088708077003
ERR7625348	PRJEB49168	179.617489	48.75	3.684461312820513	SG	3.6717732571156936	198.249	4.066646153846154
ERR7625349	PRJEB49168	3258.930463	1090.375	2.9888161990141007	SG	3.420075429032996	4806.715	4.4083136535595555
ERR7625350	PRJEB49168	774.377204	262.0	2.9556381832061067	SG	3.112375138538303	896.933	3.4234083969465647
ERR7625351	PRJEB49168	4918.955167	1425.875	3.4497800767949505	SG	4.141425010941712	4073.545	2.856873849390725
ERR7625352	PRJEB49168	191.40132	49.875	3.8376204511278194	SG	3.788013213232084	184.722	3.703699248120301
ERR7625353	PRJEB49168	2773.915782	837.875	3.310655863941519	SG	3.266410285094695	2795.609	3.3365466209160077
